Severity,MCG,Region,Source,Year,Host,Isolate,5-2(F),5-3(F),6-2(F),7-2(F),8-3(H),9-2(F),12-2(H),17-3(H),20-3(F),36-4(F),50-4(F),55-4(F),92-4(F),106-4(H),110-4(H),114-4(H)
6.6,65,ND,gfc,2007,unk,713,320,296,489,170,252,362,222,348,280,415,532,173,378,610,378,371
7,5,ND,rrv,2007,unk,714,322,308,483,160,250,360,222,348,280,415,532,173,379,567,378,367
7.4,5,ND,rrv,2007,unk,715,322,308,483,170,248,360,222,348,280,415,532,173,380,567,378,367
6.3,66,ND,gfc,2007,unk,716,320,308,489,170,248,360,222,342,280,415,531,173,376,576,378,367
7.8,5,ND,rrv,2007,unk,717,322,308,483,172,250,360,222,348,280,414,532,173,377,581,378,367
5.5,67,ND,rrv,2007,unk,718,320,308,489,160,254,360,222,351,280,415,532,173,378,546,382,375
7.5,44,ND,rrv,2007,unk,719,320,330,495,172,244,360,216,354,280,415,532,188,376,577,374,339
6,68,ND,rrv,2007,unk,720,320,308,489,170,252,364,222,348,280,415,532,173,376,571,378,371
6.3,68,ND,rrv,2007,unk,721,320,308,489,172,252,364,222,348,280,415,532,173,375,571,378,371
6,45,ND,rrv,2007,unk,722,320,328,489,160,252,360,216,348,280,415,532,173,376,571,386,371
6.5,5,ND,rrv,2007,unk,723,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,367
4.2,45,CO,luc,2007,Yellow,724,320,328,489,160,252,360,216,348,280,415,532,173,376,571,386,371
5,45,CO,luc,2007,Yellow,725,320,328,489,170,252,360,216,348,280,415,532,173,375,571,386,371
4.1,45,CO,luc,2007,Yellow,726,320,328,489,170,252,360,216,348,280,415,532,173,375,571,386,371
4.2,4,CO,luc,2007,Yellow,727,320,328,489,172,252,360,216,348,280,415,532,173,378,580,378,371
4.9,9,CO,luc,2007,Yellow,728,320,318,495,160,244,360,216,357,280,417,532,212,376,532,374,339
