iso_st_mcg_org_loc_yr_hst_cult_rep,106-4(H),110-4(H),114-4(H),12-2(H),17-3(H),20-3(F),36-4(F),5-2(F),5-3(F),50-4(F),55-4(F),6-2(F),7-2(F),8-3(H),9-2(F),92-4(F)
796_4.8_53_WA_wmn_2008_38,548,379,355,217,348,280,415,320,320,532,173,483,160,252,360,375
797_5.2_79_WA_wmn_2008_cornell,567,370,367,215,342,280,415,320,327,532,165,483,160,250,381,375
798_6.3_16_MI_wmn_2008_Bunsi,567,385,367,221,342,280,415,320,308,531,173,489,160,252,360,375
799_4.5_20_MI_wmn_2008_cornell,567,385,355,221,342,280,415,320,308,531,165,483,160,252,360,376
800_5.2_20_MI_wmn_2008_11A,567,385,355,221,342,280,415,320,308,531,165,483,170,252,359,376
801_4.6_5_MI_wmn_2008_G122,542,370,339,217,342,280,415,320,320,532,169,489,170,252,360,375
802_5.8_5_MI_wmn_2008_cornell,567,385,355,221,342,280,415,320,308,532,165,483,160,252,360,376
803_7.1_5_MI_wmn_2008_PO7863,567,386,355,221,343,280,415,320,308,532,165,483,170,252,360,376
804_4.8_5_MI_wmn_2008_Orion,567,379,367,221,348,280,415,322,308,532,173,483,172,249,360,379
805*_5.8_18_ND_stc_2010_unk,567,382,339,215,348,280,415,320,328,532,165,484,170,252,360,379
806_7.1_17_MI_wmn_2008_Beryl,580,378,371,215,348,280,415,320,328,532,173,489,170,252,360,378
807_5.5_5_MI_wmn_2008_38,571,385,371,215,348,280,415,320,328,531,173,489,172,252,360,376
808_5_5_MI_wmn_2008_B07104,567,378,367,221,348,280,415,322,308,532,173,483,172,250,360,380
809_5.2_4_MI_wmn_2008_WM31,567,378,367,221,348,280,415,322,308,532,173,483,172,250,360,379
810_5.6_5_MI_wmn_2008_37,567,379,367,221,348,280,415,322,308,532,173,483,170,249,360,379
811_4.8_18_ND_stc_2010_unk,567,385,367,221,354,280,415,320,308,532,165,483,170,244,360,375
812_4.6_18_ND_nec_2010_unk,567,385,371,221,354,280,415,322,328,532,173,483,170,252,360,375
813_4.3_5_MI_tuc_2008_Vista,573,374,339,215,354,280,415,320,330,532,188,493,170,244,360,374
814_5.3_3_MI_tuc_2008_Vista,573,374,339,215,355,280,415,320,331,532,188,493,172,244,360,375
815_4.8_17_MI_tuc_2008_Vista,577,374,339,215,354,280,415,320,330,532,188,493,170,244,360,375
816_5.3_17_MI_tuc_2008_Vista,571,385,367,215,348,280,415,320,339,532,173,489,170,252,360,375
817_4.2_20_MI_hur_2008_BL,577,374,339,215,354,280,415,320,330,532,188,493,172,244,360,376
818_6.1_3_MI_hur_2008_Vista,597,374,339,215,363,280,417,320,330,532,216,493,170,244,360,376
819_5.6_5_MI_hur_2008_Vista,573,374,339,215,354,280,415,320,330,532,173,493,170,244,360,375
824_4.9_44_MI_sanc_2008_Merlot,571,385,371,215,348,280,415,320,328,532,188,489,172,252,360,374
825_5.1_6_MI_sanc_2008_Merlot,563,378,367,215,348,280,415,320,308,532,177,483,170,250,365,375
826_6_44_MI_sanc_2008_Merlot,610,379,372,221,348,280,415,320,296,532,173,489,170,252,361,378
827_5.4_1_NE_wmn_2008_unk,567,379,367,221,348,280,415,322,308,532,173,483,160,250,360,379
828_4.2_9_NE_wmn_2008_unk,567,378,367,221,348,280,415,322,308,532,173,483,170,249,360,380
829_4.7_9_NE_wmn_2008_unk,576,378,367,221,342,280,415,320,308,531,173,489,170,249,360,376
830_4_9_NE_wmn_2008_unk,546,381,376,221,351,280,415,320,308,532,173,489,160,254,360,378
831_3.8_9_NE_wmn_2008_unk,577,374,339,215,354,280,415,320,330,532,188,493,172,244,360,376
832_5_9_NE_wmn_2008_unk,571,379,371,221,348,280,415,320,308,532,173,489,170,252,365,376
833_5.3_44_NE_wmn_2008_unk,571,379,371,221,348,280,415,320,308,532,173,489,172,252,365,375
835_4.3_1_NE_wmn_2008_unk,571,385,372,215,348,280,415,320,328,532,173,489,160,252,360,376
836_4.9_1_NE_wmn_2008_unk,567,378,368,221,348,280,415,322,308,532,173,483,172,250,360,380
837_5.4_1_NE_wmn_2008_unk,571,385,371,215,348,280,415,320,328,532,173,489,160,252,360,376
838_4.4_1_NE_sbf_2009_Pinto,571,385,371,215,348,280,415,320,328,532,173,489,170,252,360,375
839_3.8_5_MI_wmn_2009_Beryl,571,385,371,215,348,280,415,320,328,532,173,489,170,252,360,375
840_4.8_17_MI_wmn_2009_G122,580,378,371,215,348,280,415,320,328,532,173,489,172,252,360,378
841_2.8_9_MI_wmn_2009_Bunsi,532,374,339,215,357,280,417,320,318,532,212,493,160,244,360,376
842_5.1_20_MI_wmn_2009_Bunsi,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,375
843_3.4_20_MI_wmn_2009_Bunsi,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,375
844_4.3_86_MI_wmn_2009_Bunsi,532,374,339,215,357,280,417,320,318,532,169,493,160,244,360,376
845_4.8_5_MI_wmn_2009_G122,552,370,359,217,348,280,415,320,320,532,157,489,170,244,360,375
846_4.7_5_MI_wmn_2009_G122,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,376
847_4.7_9_MI_wmn_2009_G122,532,374,339,215,357,280,417,320,318,532,212,493,160,244,360,376
848_3.8_5_MI_wmn_2009_Beryl,571,385,371,215,348,280,415,320,328,532,173,489,172,252,360,376
849_4.7_5_MI_wmn_2009_Beryl,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,376
850_4.6_5_MI_wmn_2009_Beryl,571,385,371,215,348,280,415,320,328,532,173,489,172,252,360,375
851_4.3_7_MI_Sebewaing_2009_Black,532,374,339,215,357,280,417,320,318,532,169,493,162,244,360,376
852_4.5_5_MI_eln_2009_unk,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,376
853_4.2_5_MI_mung_2009_Zorro,571,385,371,215,348,280,415,320,328,532,173,489,172,252,360,376
854_5_5_MI_tuc_2009_Fuji,571,385,371,215,348,280,415,320,328,531,173,489,172,252,360,376
855_4.4_18_MI_hur_2009_Black,551,381,376,215,348,280,415,320,339,532,173,489,172,250,360,380
858_6.3_5_MI_hur_2009_SR06233,571,385,371,215,348,280,415,320,329,532,173,489,172,252,360,376
859_6.9_5_MI_tuc_2009_Black,571,385,372,215,348,280,415,320,328,532,173,489,172,252,360,376
860_6.8_5_MI__2009_unk,577,374,339,215,354,280,415,320,330,532,188,493,160,244,360,376
861_7.2_9_NE_mtc_2010_Orion,532,374,339,215,357,280,417,320,318,532,212,493,160,244,360,375
862_6.2_9_NE_mtc_2010_Orion,533,374,339,215,357,280,417,320,318,532,212,493,160,244,360,376
863_6.8_44_NE_mtc_2010_Orion,577,374,339,215,354,280,415,320,330,532,188,493,160,244,360,376
864_6.3_44_NE_mtc_2010_Orion,577,374,339,215,354,280,415,320,330,532,188,493,160,244,360,376
865_5.8_44_NE_mtc_2010_Orion,573,374,339,215,354,280,415,320,330,532,188,493,160,244,360,375
866_6.4_1_NE_mtc_2010_Orion,588,385,343,215,348,280,415,320,339,532,157,483,170,250,367,376
867_6.5_1_NE_mtc_2010_Emerson,588,385,343,215,348,280,415,320,339,532,157,483,170,250,367,376
868_5.4_44_NE_wmn_2010_Beryl,573,374,339,215,354,280,415,320,339,531,188,493,160,244,360,375
869_5.6_1_NE_wmn_2010_PO7683,576,379,368,221,348,280,415,323,296,532,173,489,170,251,360,376
870_6_45_CO_luc_2010_Yellow,567,386,359,221,342,280,415,323,339,532,165,483,172,251,362,380
871_6.8_5_CO_luc_2010_Yellow,567,385,355,221,342,280,415,320,308,532,165,483,170,250,360,380
872_5_5_CO_luc_2010_Yellow,576,379,367,221,342,280,415,322,308,532,173,483,172,250,360,376
873_4.3_5_CO_luc_2010_Yellow,567,379,367,221,348,280,415,322,308,532,173,483,172,249,360,380
874_6.8_44_CO_luc_2010_Yellow,578,374,339,214,354,280,414,320,330,532,188,494,159,244,360,375
875_5.3_86_CO_luc_2010_Yellow,533,374,339,214,357,280,416,320,319,532,169,494,159,244,360,375
876_4.3_44_CO_luc_2010_Yellow,578,375,339,215,354,280,414,320,330,532,188,494,159,244,360,375
877_3.9_16_CO_gree_2010_Pinto,581,379,372,215,348,280,414,320,328,532,173,490,172,252,360,377
878_4.7_16_CO_gree_2010_Pinto,581,386,372,214,348,280,414,320,328,532,173,490,172,252,360,377
879_6.1_44_CO_gree_2010_Pinto,578,375,339,214,354,280,414,320,330,532,188,494,160,252,360,375
880_5.2_44_CO_gree_2010_Pinto,578,375,339,215,357,280,417,320,330,532,169,494,160,252,360,375
881_5.9_4_CO_gree_2010_Pinto,578,375,359,215,354,280,415,320,330,532,188,493,159,244,360,376
882_4.3_50_CO_gree_2010_Pinto,552,371,359,217,348,280,415,320,320,531,157,490,169,254,360,376
883_6.3_9_CO_gree_2010_Pinto,533,375,339,215,357,280,417,320,318,531,212,493,159,244,360,376
884_5.4_86_CO_eat_2010_Yellow,533,374,339,215,357,280,417,320,318,532,169,493,159,244,360,376
885_6.1_49_CO_eat_2010_Yellow,551,381,376,215,348,280,415,320,339,531,173,489,171,250,360,380
886_3.9_16_CO_eat_2010_Yellow,571,385,368,215,348,280,415,320,328,532,173,490,171,252,360,376
887_3.5_49_CO_eat_2010_Yellow,552,381,376,215,348,280,415,320,339,532,173,489,171,250,360,380
888_4.8_5_CO_eat_2010_Yellow,552,378,368,221,348,280,415,323,308,532,173,483,171,250,360,380
889_4.6_5_CO_eat_2010_Yellow,567,379,367,221,348,280,414,322,308,532,173,483,172,250,360,379
890_4.8_5_CO_eat_2010_Yellow,567,379,367,221,348,280,414,322,308,531,173,483,172,250,360,379
891_3.6_5_ND_tlc_2010_unk,567,379,367,221,348,280,414,322,308,532,173,483,172,250,360,379
892_4_5_ND_tlc_2010_unk,567,370,359,217,342,280,414,320,320,531,165,484,169,250,360,379
893_4.2_5_ND_tlc_2010_unk,567,379,367,221,348,280,414,322,308,532,173,483,172,250,360,379
894_5.6_5_ND_tlc_2010_unk,567,379,367,221,348,280,414,322,308,532,173,483,172,250,360,379
895_5.7_5_ND_tlc_2010_unk,567,379,367,220,348,280,414,322,308,532,173,483,172,250,360,379
896_5.8_50_ND_gfc_2010_unk,541,371,355,217,342,281,415,320,320,532,165,484,172,252,366,379
897_4.9_5_ND_pmc_2010_unk,567,379,367,221,348,280,415,322,308,532,173,483,171,250,360,380
898_5.6_13_ND_pmc_2010_unk,567,379,367,221,348,280,415,322,308,531,173,483,171,250,360,379
899_5.9_13_ND_pmc_2010_unk,567,379,367,221,348,280,415,322,308,532,173,483,171,250,360,380
900_6.2_5_ND_pmc_2010_unk,567,379,367,221,348,280,415,322,308,531,173,483,171,250,360,380
901_4.6_13_ND_wlc_2010_unk,571,379,371,220,348,282,415,320,308,531,173,489,169,252,366,380
902_6_5_ND_wlc_2010_unk,571,379,367,221,348,280,415,322,308,531,173,483,171,250,360,380
903_6_5_ND_wlc_2010_unk,567,379,372,221,348,280,415,322,308,532,173,483,171,250,360,380
904_5.6_3_ND_wlc_2010_unk,568,385,372,221,348,280,415,320,328,532,173,489,172,252,360,380
905_5.8_60_ND_pmc_2010_unk,567,379,367,221,348,280,415,322,308,532,173,483,172,250,360,379
906_5.1_87_ND_pmc_2010_unk,610,379,372,221,348,280,414,320,296,532,173,489,174,252,360,377
907_5.5_60_ND_pmc_2010_unk,567,379,367,221,348,280,415,322,308,532,173,483,172,250,360,379
908_5.7_5_ND_tlc_2010_unk,567,379,367,221,348,280,415,322,308,532,173,483,172,250,360,379
909_5.6_5_ND_tlc_2010_unk,567,379,367,221,348,280,415,322,308,532,173,483,172,250,360,379
910_5.3_13_ND_tlc_2010_unk,567,379,367,221,348,280,414,322,308,532,173,483,172,250,360,379
911_5.4_5_ND_gfc_2010_unk,567,379,367,221,348,280,414,322,308,532,173,483,172,250,360,379
912_5.3_5_ND_gfc_2010_unk,567,379,367,221,348,280,414,322,308,532,173,484,172,250,360,380
913_4.8_5_ND_gfc_2010_unk,576,379,367,221,342,282,415,320,308,532,173,489,169,250,360,376
914_5.9_5_ND_tlc_2010_unk,567,379,367,221,348,280,415,322,308,531,173,484,171,250,360,380
966_4.5_33_BL_flds_2012_unk,548,385,372,215,348,280,415,320,339,532,165,483,172,252,360,376
967_5.8_34_BL_flds_2012_unk,548,385,339,215,348,280,415,320,330,532,165,483,172,252,360,376
968_4.2_34_BL_flds_2012_unk,567,371,339,215,348,280,415,320,330,532,165,483,170,254,360,376
970_5.2_35_BL_flds_2012_unk,555,381,372,215,348,280,415,320,308,532,173,489,170,244,360,380
