iso_st_mcg_org_loc_yr_hst_cult_rep,106-4(H),110-4(H),114-4(H),12-2(H),17-3(H),20-3(F),36-4(F),5-2(F),5-3(F),50-4(F),55-4(F),6-2(F),7-2(F),8-3(H),9-2(F),92-4(F)
577_4.9_6_NE_wmn_2004_Beryl,594,375,339,221,348,280,417,320,330,532,216,494,160,244,360,375
578_6.9_44_NE_wmn_2004_Beryl,577,374,339,221,348,280,415,320,308,532,188,493,160,244,360,376
584_6_3_OR_wmn_2004_G122,567,379,416,221,348,280,415,322,339,532,173,483,172,250,360,380
585_4.3_4_OR_wmn_2004_G122,556,379,388,221,348,282,415,318,330,532,157,483,170,252,360,376
586_5.3_14_OR_wmn_2004_G122,503,370,416,221,348,282,415,318,330,532,157,493,169,252,360,376
587_5.5_5_OR_wmn_2004_Beryl,567,379,339,221,348,280,415,322,308,532,173,483,172,250,360,380
588_5.3_4_OR_wmn_2004_Beryl,581,378,372,221,348,280,415,320,328,532,173,490,172,252,360,378
589_4.8_2_OR_wmn_2004_Beryl,567,379,368,221,348,280,415,322,339,532,165,483,172,250,362,380
590_5.3_5_OR_wmn_2004_Bunsi,502,370,416,221,348,280,415,320,339,532,157,483,162,252,361,382
591_2.9_15_OR_wmn_2004_Bunsi,581,378,368,221,348,280,415,320,339,532,177,490,174,250,362,378
592_5.5_5_OR_wmn_2004_Bunsi,567,379,416,221,348,280,415,322,339,532,173,483,172,250,360,380
593_4.2_27_CA_wmn_2004_Bunsi,556,379,388,221,348,282,415,318,330,532,157,483,170,252,360,376
594_4.6_21_CA_wmn_2004_Bunsi,502,370,388,221,348,280,415,320,327,532,157,483,170,254,360,376
595_4.7_28_CA_wmn_2004_Bunsi,502,374,416,215,348,280,415,320,327,532,157,483,162,252,360,378
596_3.3_25_CA_wmn_2004_G122,593,371,339,215,348,280,415,322,308,532,157,483,162,244,360,382
597_4.3_29_CA_wmn_2004_G122,503,370,416,221,348,282,415,318,330,532,157,493,169,252,360,376
598_3.5_22_CA_wmn_2004_G122,502,370,416,221,348,280,415,320,339,532,157,483,162,252,361,382
599_3.3_25_CA_wmn_2004_Beryl,502,370,388,221,348,280,415,320,327,532,157,483,170,254,360,376
600_4.3_23_CA_wmn_2004_Beryl,502,374,416,215,348,280,415,320,327,532,157,483,162,252,360,378
601_3.8_22_CA_wmn_2004_Beryl,593,371,339,215,348,280,415,322,308,532,157,483,162,244,360,382
602_4.3_36_FR_wmn_2004_Bunsi,593,379,339,215,348,280,415,320,328,532,173,484,172,244,360,382
